fold,variant,seed,slide_id,pair_cosine_average,pair_cosine_worst,retrieval_top1_average,retrieval_top1_worst,scanner_probe_accuracy
3,paired_reference,911,scc_01,0.6923855856060982,0.5245785415172577,0.9875,0.875,0.75
3,paired_reference,912,scc_01,0.7100922547280788,0.5362091213464737,0.975,0.875,0.65
3,paired_reference,913,scc_01,0.7049283593893051,0.5628108382225037,0.9875,0.875,0.65
3,paired_reference,914,scc_01,0.7006075873970985,0.5496666133403778,0.9625,0.875,0.75
3,paired_reference,915,scc_01,0.7241689503192902,0.5752550214529037,1.0,1.0,0.65
0,paired_reference,911,scc_02,0.70161083108849,0.5957911478148566,0.9944444444444445,0.9444444444444444,0.7111111111111111
0,paired_reference,912,scc_02,0.7054171770811081,0.6122296386294894,0.9944444444444445,0.9444444444444444,0.7777777777777778
0,paired_reference,913,scc_02,0.7059016635020574,0.6153881947199503,0.9944444444444445,0.9444444444444444,0.6888888888888889
0,paired_reference,914,scc_02,0.7018345617585712,0.6016657948493958,1.0,1.0,0.7333333333333333
0,paired_reference,915,scc_02,0.7019939386182361,0.6007364028029971,1.0,1.0,0.6
1,paired_reference,911,scc_03,0.7023111815253894,0.6392151652662842,0.9564814814814815,0.9259259259259259,0.762962962962963
1,paired_reference,912,scc_03,0.7113726979604473,0.657091588333801,0.9611111111111111,0.9166666666666666,0.7777777777777778
1,paired_reference,913,scc_03,0.7162733977039655,0.6634799992596662,0.9537037037037037,0.8888888888888888,0.7962962962962963
1,paired_reference,914,scc_03,0.7078051679112293,0.6429793238639832,0.9592592592592593,0.8981481481481481,0.7444444444444445
1,paired_reference,915,scc_03,0.7049411185361721,0.654817678310253,0.9518518518518518,0.9074074074074074,0.8185185185185185
0,paired_reference,911,scc_04,0.6088331358773368,0.5016006444181714,0.9571428571428572,0.8571428571428571,0.6857142857142857
0,paired_reference,912,scc_04,0.6150365058864866,0.4672809200627463,0.9785714285714285,0.9285714285714286,0.6285714285714286
0,paired_reference,913,scc_04,0.6266635520117624,0.5013812014034816,1.0,1.0,0.6285714285714286
0,paired_reference,914,scc_04,0.5939012391226632,0.4730148230280195,0.9214285714285714,0.8571428571428571,0.6285714285714286
0,paired_reference,915,scc_04,0.6326520898512431,0.5118117843355451,0.95,0.8571428571428571,0.5714285714285714
2,paired_reference,911,scc_05,0.6663462674006437,0.6279802750318478,0.8448717948717949,0.717948717948718,0.7384615384615385
2,paired_reference,912,scc_05,0.6765886403811283,0.6373790288582827,0.8346153846153846,0.7051282051282052,0.6923076923076923
2,paired_reference,913,scc_05,0.6687140480065957,0.6267286860025846,0.8423076923076923,0.7051282051282052,0.7333333333333333
2,paired_reference,914,scc_05,0.6748556257058412,0.6437625120847653,0.8435897435897436,0.6666666666666666,0.7897435897435897
2,paired_reference,915,scc_05,0.6783965409184114,0.6402099163104327,0.8487179487179487,0.7564102564102564,0.7538461538461538
2,paired_reference,911,scc_06,0.6423487643400828,0.5751645796828799,0.9333333333333333,0.8333333333333334,0.6444444444444445
2,paired_reference,912,scc_06,0.6392916682693693,0.5657522512806786,0.9166666666666666,0.8333333333333334,0.5555555555555556
2,paired_reference,913,scc_06,0.6522038257784314,0.5843652817938063,0.9277777777777778,0.8333333333333334,0.6
2,paired_reference,914,scc_06,0.6488090773423513,0.5800536606046889,0.9277777777777778,0.8333333333333334,0.6666666666666666
2,paired_reference,915,scc_06,0.6532526837454902,0.6055580675601959,0.9444444444444444,0.8888888888888888,0.6
0,paired_reference,911,scc_07,0.6962155764593797,0.6386622400844798,0.925,0.8823529411764706,0.6764705882352942
0,paired_reference,912,scc_07,0.6952640040832407,0.6389073790872798,0.9338235294117647,0.8970588235294118,0.7
0,paired_reference,913,scc_07,0.6893030952004825,0.6278293202905094,0.9235294117647059,0.8676470588235294,0.7470588235294118
0,paired_reference,914,scc_07,0.692174084616058,0.6328191143624923,0.9176470588235294,0.8676470588235294,0.6823529411764706
0,paired_reference,915,scc_07,0.6946287678445087,0.635174176272224,0.9279411764705883,0.8676470588235294,0.7058823529411765
4,paired_reference,911,scc_08,0.6683694517612457,0.5848128378391266,0.79,0.6,0.72
4,paired_reference,912,scc_08,0.6584321802854538,0.5810189068317413,0.86,0.7,0.64
4,paired_reference,913,scc_08,0.6567742121219635,0.5780576229095459,0.8,0.7,0.68
4,paired_reference,914,scc_08,0.6316922700405121,0.5564655661582947,0.8,0.6,0.76
4,paired_reference,915,scc_08,0.659187816977501,0.5987342417240142,0.82,0.6,0.64
1,paired_reference,911,scc_09,0.6268465027513523,0.48547671062331044,0.8580645161290322,0.6774193548387096,0.7806451612903226
1,paired_reference,912,scc_09,0.6156927840618958,0.46434721879420743,0.8516129032258064,0.6451612903225806,0.7870967741935484
1,paired_reference,913,scc_09,0.610134308625974,0.4564567630689952,0.8580645161290322,0.6290322580645161,0.7806451612903226
1,paired_reference,914,scc_09,0.6239844460340758,0.4697509004223731,0.8548387096774194,0.6612903225806451,0.7870967741935484
1,paired_reference,915,scc_09,0.6139568479491337,0.4645942848536276,0.85,0.6290322580645161,0.832258064516129
0,paired_reference,911,scc_10,0.693929486721754,0.635634945333004,0.97,0.925,0.75
0,paired_reference,912,scc_10,0.7064593124389649,0.652445949614048,0.985,0.925,0.7
0,paired_reference,913,scc_10,0.706070227921009,0.6640641331672669,0.9875,0.975,0.78
0,paired_reference,914,scc_10,0.7024358503520489,0.6574028611183167,0.9725,0.925,0.78
0,paired_reference,915,scc_10,0.7004103338718415,0.6542520701885224,0.9825,0.95,0.64
0,paired_reference,911,scc_11,0.7273077138832638,0.6640569823128837,0.9392857142857143,0.8571428571428571,0.7428571428571429
0,paired_reference,912,scc_11,0.7309878947479385,0.6599920434611184,0.95,0.8571428571428571,0.5714285714285714
0,paired_reference,913,scc_11,0.7301654985972813,0.6611063054629734,0.9428571428571428,0.8571428571428571,0.5714285714285714
0,paired_reference,914,scc_11,0.7221534077610289,0.6493488869496754,0.9571428571428572,0.8928571428571429,0.6
0,paired_reference,915,scc_11,0.7281202520642962,0.657107453261103,0.9607142857142857,0.8928571428571429,0.5428571428571428
2,paired_reference,911,scc_12,0.7309908880487732,0.6484559301448904,0.95,0.9130434782608695,0.782608695652174
2,paired_reference,912,scc_12,0.7254218669041343,0.6467117952263873,0.9586956521739131,0.9130434782608695,0.8608695652173913
2,paired_reference,913,scc_12,0.7273409962006238,0.6542024450457614,0.9456521739130435,0.8913043478260869,0.7391304347826086
2,paired_reference,914,scc_12,0.7207174811674201,0.6331272008626357,0.9565217391304348,0.8478260869565217,0.808695652173913
2,paired_reference,915,scc_12,0.731046650591104,0.6510013419648876,0.9521739130434783,0.9130434782608695,0.8173913043478261
3,paired_reference,911,scc_13,0.7219035656614737,0.6473151093179529,0.9772727272727273,0.9318181818181818,0.7636363636363637
3,paired_reference,912,scc_13,0.7129355442794887,0.6350788257338784,0.9568181818181818,0.9090909090909091,0.7272727272727273
3,paired_reference,913,scc_13,0.7304986940188841,0.655475681478327,0.975,0.9090909090909091,0.6545454545454545
3,paired_reference,914,scc_13,0.7250222275202924,0.6386866610158574,0.9613636363636363,0.8636363636363636,0.7181818181818181
3,paired_reference,915,scc_13,0.7294128552079201,0.659474177794023,0.9772727272727273,0.9318181818181818,0.7
3,paired_reference,911,scc_14,0.7053353384137153,0.6426988318562508,1.0,1.0,0.65
3,paired_reference,912,scc_14,0.7165393196046352,0.6592354401946068,1.0,1.0,0.675
3,paired_reference,913,scc_14,0.7082487590610981,0.6457393243908882,1.0,1.0,0.7
