metric,difference_definition,n_sample_blocks,mean_difference,median_difference,bootstrap_ci_025,bootstrap_ci_975,fraction_samples_favorable,monte_carlo_sign_flip_p_two_sided,sign_flip_draws
scanner_probe_accuracy,pathoalign_dep20_minus_paired_reference,44,-0.3803472849214505,-0.38971050454921424,-0.399616262834995,-0.36110736714618386,1.0,3.9999840000639995e-06,250000
pair_cosine_average,pathoalign_dep20_minus_paired_reference,44,0.033255688652845346,0.03387276322022087,0.030934680262400246,0.035530169159218,1.0,3.9999840000639995e-06,250000
pair_cosine_worst,pathoalign_dep20_minus_paired_reference,44,0.033104092584924756,0.03367157578468333,0.028789012989293022,0.03755031962090949,1.0,3.9999840000639995e-06,250000
retrieval_top1_average,pathoalign_dep20_minus_paired_reference,44,0.002325858142991337,0.0012698412698414208,4.995919430201444e-06,0.004788671921104747,0.5454545454545454,0.0645997416010336,250000
retrieval_top1_worst,pathoalign_dep20_minus_paired_reference,44,0.0017308671545927295,0.0,-0.005823017054450973,0.009250331647426906,0.38636363636363635,0.6605733577065692,250000
