fold,variant,seed,pair_cosine_average,pair_cosine_worst,retrieval_top1_average,retrieval_top1_worst,scanner_probe_accuracy,effective_rank,feature_variance_nonzero_fraction,n_test_samples,n_test_regions
0,paired_reference,911,0.7200018882751464,0.6667689085006714,0.9100694444444443,0.8611111111111112,0.7069444444444445,72.34921703000353,1.0,8,144
0,paired_reference,912,0.7234840035438538,0.6750791072845459,0.9197916666666666,0.8854166666666667,0.7041666666666666,71.25509646883286,1.0,8,144
0,paired_reference,913,0.7229481637477875,0.6755222678184509,0.9204861111111111,0.8819444444444444,0.7430555555555556,71.73821608100027,1.0,8,144
0,paired_reference,914,0.7190169215202331,0.670413613319397,0.9100694444444445,0.8645833333333333,0.7013888888888888,73.3688401815398,1.0,8,144
0,paired_reference,915,0.7208173215389252,0.6708053946495056,0.9229166666666666,0.8923611111111112,0.6805555555555556,72.36688256941765,1.0,8,144
1,paired_reference,911,0.690866106748581,0.600179135799408,0.9420634920634919,0.8915343915343915,0.764021164021164,83.83048869165452,1.0,9,189
1,paired_reference,912,0.6938536524772644,0.6042654514312744,0.9441798941798943,0.8888888888888888,0.7714285714285715,83.95093532139816,1.0,9,189
1,paired_reference,913,0.6940813720226288,0.6031086444854736,0.943121693121693,0.8703703703703703,0.765079365079365,82.86750473769357,1.0,9,189
1,paired_reference,914,0.6900032937526703,0.5965511798858643,0.9431216931216932,0.8809523809523809,0.7365079365079364,82.93185900257613,1.0,9,189
1,paired_reference,915,0.6901838660240174,0.6013855934143066,0.9404761904761904,0.8915343915343915,0.783068783068783,83.10326570905245,1.0,9,189
2,paired_reference,911,0.6913966476917267,0.6271851658821106,0.9234482758620691,0.8793103448275862,0.7365517241379311,80.58859111052817,1.0,9,145
2,paired_reference,912,0.6922629833221435,0.6310558319091797,0.9193103448275861,0.8689655172413793,0.736551724137931,80.1820182397819,1.0,9,145
2,paired_reference,913,0.6898832201957703,0.627689778804779,0.9189655172413792,0.8724137931034482,0.7531034482758621,81.39162997519624,1.0,9,145
2,paired_reference,914,0.6910641551017761,0.6301233172416687,0.9262068965517243,0.8758620689655172,0.7737931034482758,81.16947162561358,1.0,9,145
2,paired_reference,915,0.6938757300376892,0.6307258605957031,0.9251724137931034,0.8896551724137931,0.7448275862068965,81.08610600904534,1.0,9,145
3,paired_reference,911,0.6828377902507782,0.6097282767295837,0.9467948717948718,0.9006410256410255,0.7666666666666667,79.58015671893652,1.0,9,156
3,paired_reference,912,0.6793183445930481,0.6103891134262085,0.9496794871794872,0.9134615384615384,0.7692307692307694,80.83794874408174,1.0,9,156
3,paired_reference,913,0.6830960988998414,0.6179168224334717,0.9567307692307694,0.9198717948717949,0.7615384615384617,79.32923165378484,1.0,9,156
3,paired_reference,914,0.6861967086791992,0.6128734946250916,0.95,0.8974358974358975,0.7807692307692309,78.39993372175407,1.0,9,156
3,paired_reference,915,0.688372802734375,0.620467483997345,0.9477564102564102,0.9006410256410255,0.7371794871794871,76.70480781619221,1.0,9,156
4,paired_reference,911,0.6927610278129578,0.6198396682739258,0.9184210526315788,0.8508771929824561,0.791812865497076,83.50752699049166,1.0,9,171
4,paired_reference,912,0.6905758738517761,0.6215006709098816,0.9175438596491228,0.8625730994152047,0.7976608187134503,83.19116461139375,1.0,9,171
4,paired_reference,913,0.6932765483856201,0.6214064359664917,0.9239766081871345,0.8654970760233918,0.7777777777777778,83.61367352119028,1.0,9,171
4,paired_reference,914,0.689867377281189,0.6171285510063171,0.9269005847953216,0.8625730994152047,0.7614035087719297,84.20415176141731,1.0,9,171
4,paired_reference,915,0.6905108511447906,0.6203778982162476,0.9187134502923977,0.8625730994152047,0.7766081871345029,82.9219733438262,1.0,9,171
